datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
2012-11-01 22:10:00,leighton buzzard (uk/england),,gb,sphere,300,5 minutes,Two seperate fast moving orange spheres observed within 5 mins - Bedfordshire UK,11/19/2012,51.916667,-0.65
2000-11-12 17:00:00,kent (uk/england),,gb,triangle,600,10min,how it made me felt and were it was,12/2/2000,51.25,0.75
2001-11-13 00:00:00,london (uk/england),,gb,unknown,2,few seconds,Whilst watching the Live CNN Coverage of the unfortunate Plane Crash in New York today&#44 12th November 2001&#44 I could clearly see helicop,11/20/2001,51.514125,-0.093689
2002-11-12 23:00:00,lincolnshire (uk/england),,gb,circle,900,15 minutes,I saw a bright sec of light bobbing up and down in the night sky at around 11.00p.m,12/23/2002,53.166667,-0.25
2005-11-13 00:00:00,glasgow (uk/scotland),,gb,light,300,5minutes,bright light hovering in sky&#44after a few minutes it dissappeared,12/16/2005,55.833333,-4.25
2007-11-12 22:57:00,solihull (uk/england),,gb,formation,2,00:02,three lights making extreme noise but passed off by local authority as a hot air balloon,3/4/2008,52.416667,-1.7833330000000003
2010-11-12 19:05:00,tamworth (uk/england),,gb,unknown,300,5 mins,Large in size&#44three or four cars in length...hovering just above house line with orange and other flashing light ... Sped off at hi,11/21/2010,52.616667,-1.6833330000000002
2011-11-12 22:45:00,alton (hampshire) (uk/england),,gb,light,20,15-20 seconds,Strange single brightish orange object/light flying slowly in the dark night sky in a straight line before passing out of sight.,12/12/2011,52.966667,-1.8833330000000001
2010-11-13 19:50:00,birmingham (uk/england),,gb,light,60,1 min,single intense orange light travelling over sutton coldfield&#44 UK,11/21/2010,52.466667,-1.916667
2011-11-13 19:39:00,birmingham (uk/england),,gb,sphere,159,2:39,((HOAX??))  orange-ish/yellow sphere travelling in a straight line over Birmgham UK,12/12/2011,52.466667,-1.916667
2001-11-14 19:20:00,burnley (uk/england),,gb,triangle,8,6-8 secs,silent and fast,11/20/2001,53.8,-2.233333
2003-11-14 18:00:00,haslingden (uk/england),,gb,rectangle,20,20 seconds,4 lights  square 1 red dot  traveling anti-clockwise,11/26/2003,53.7,-2.333333
2008-11-14 18:23:00,warwickshire (uk/england),,gb,fireball,30,20-30 secs,bright&#44 blurry light fairly low in the sky with absolutely no sound&#44 moving quite quickly in a straight line.,1/10/2009,52.333333,-1.583333
2008-11-14 20:00:00,lincoln (uk/england),,gb,sphere,2,<2 seconds,Brief view of fast object,1/10/2009,53.233333,-0.533333
2008-11-14 22:00:00,birmingham (uk/england),,gb,circle,180,3 minutes,Was a circular shape with the lights goin acorss the centre of it flying over Birmingham&#44 England,8/5/2009,52.466667,-1.916667
2009-11-14 23:00:00,leicester (uk/england),,gb,fireball,60,1 minute,3 red objects that were bright red&#44 2 were close together with the other following several minutes later,12/12/2009,52.664913,-1.034894
1962-11-15 23:00:00,cardiff (uk/wales),,gb,disk,300,5 mins,This happened in november 1962. It was a large round saucer with revolving lights in the middle.,6/12/2008,51.5,-3.2
